season,venue,batting_team,bowling_team,final_score
2012,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,158
2012,Subrata Roy Sahara Stadium,Mumbai Indians,Pune Warriors,120
2012,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,160
2012,Eden Gardens,Kolkata Knight Riders,Pune Warriors,150
2012,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab,177
2012,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,173
2012,M Chinnaswamy Stadium,Deccan Chargers,Royal Challengers Bangalore,181
2012,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,153
2012,Subrata Roy Sahara Stadium,Pune Warriors,Rajasthan Royals,125
2012,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Deccan Chargers,170
2012,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,141
2012,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,126
2012,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,Pune Warriors,173
2012,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,182
2012,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings,114
2012,Sawai Mansingh Stadium,Rajasthan Royals,Pune Warriors,170
2012,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,Kings XI Punjab,190
2012,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,171
2012,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,158
2012,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils,136
2012,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,140
2012,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,Kings XI Punjab,120
2012,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils,215
2012,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Deccan Chargers,126
2012,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,141
2012,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Pune Warriors,136
2012,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,132
2012,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,162
2012,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Delhi Daredevils,162
2012,M Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians,187
2012,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,222
2012,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,190
2013,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders,128
2013,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,156
2013,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Pune Warriors,126
2013,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,165
2013,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,148
2013,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,99
2013,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad,130
2013,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,144
2013,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,209
2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,138
2013,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,154
2013,Subrata Roy Sahara Stadium,Rajasthan Royals,Pune Warriors,145
2013,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,114
2013,Wankhede Stadium,Mumbai Indians,Pune Warriors,183
2013,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,165
2013,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,180
2013,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,124
2013,"MA Chidambaram Stadium, Chepauk",Pune Warriors,Chennai Super Kings,159
2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,157
2013,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,152
2013,Subrata Roy Sahara Stadium,Sunrisers Hyderabad,Pune Warriors,119
2013,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,179
2013,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils,169
2013,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad,123
2013,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,119
2013,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,117
2013,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,161
2013,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab,185
2013,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,185
2013,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors,263
2013,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,171
2013,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,159
2013,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings,159
2013,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,149
2013,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,144
2013,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,194
2013,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,200
2013,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Pune Warriors,164
2013,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,171
2013,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,174
2013,Subrata Roy Sahara Stadium,Chennai Super Kings,Pune Warriors,164
2013,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,129
2013,Shaheed Veer Narayan Singh International Stadium,Kolkata Knight Riders,Delhi Daredevils,136
2013,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,186
2013,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,Pune Warriors,187
2013,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,132
2013,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Sunrisers Hyderabad,80
2013,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,174
2013,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,139
2013,Sawai Mansingh Stadium,Pune Warriors,Rajasthan Royals,178
2013,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,161
2013,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals,154
2013,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,170
2013,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad,223
2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,145
2013,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Pune Warriors,152
2013,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils,183
2013,Subrata Roy Sahara Stadium,Pune Warriors,Mumbai Indians,112
2013,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,150
2013,JSCA International Stadium Complex,Royal Challengers Bangalore,Kolkata Knight Riders,115
2013,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,141
2013,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,120
2013,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,178
2013,JSCA International Stadium Complex,Pune Warriors,Kolkata Knight Riders,170
2013,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,168
2013,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,166
2013,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,190
2013,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,136
2013,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Mumbai Indians,183
2013,Subrata Roy Sahara Stadium,Pune Warriors,Delhi Daredevils,172
2013,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,106
2013,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Sunrisers Hyderabad,130
2013,Feroz Shah Kotla,Chennai Super Kings,Mumbai Indians,192
2013,Feroz Shah Kotla,Sunrisers Hyderabad,Rajasthan Royals,132
2013,Eden Gardens,Rajasthan Royals,Mumbai Indians,165
2013,Eden Gardens,Mumbai Indians,Chennai Super Kings,148
2014,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,163
2014,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,145
2014,Sheikh Zayed Stadium,Chennai Super Kings,Kings XI Punjab,205
2014,Sheikh Zayed Stadium,Sunrisers Hyderabad,Rajasthan Royals,133
2014,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore,115
2014,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,166
2014,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,191
2014,Sheikh Zayed Stadium,Chennai Super Kings,Delhi Daredevils,177
2014,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,193
2014,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals,140
2014,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,150
2014,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,184
2014,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings,141
2014,Sheikh Zayed Stadium,Royal Challengers Bangalore,Rajasthan Royals,70
2014,Sheikh Zayed Stadium,Kings XI Punjab,Kolkata Knight Riders,132
2014,Sharjah Cricket Stadium,Mumbai Indians,Delhi Daredevils,125
2014,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,145
2014,Dubai International Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,124
2014,Sheikh Zayed Stadium,Rajasthan Royals,Kolkata Knight Riders,152
2014,Dubai International Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,172
2014,JSCA International Stadium Complex,Chennai Super Kings,Kolkata Knight Riders,148
2014,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,168
2014,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,152
2014,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,155
2014,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kolkata Knight Riders,170
2014,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,178
2014,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,187
2014,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,160
2014,Barabati Stadium,Kings XI Punjab,Chennai Super Kings,231
2014,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad,Rajasthan Royals,134
2014,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,198
2014,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,143
2014,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,157
2014,Barabati Stadium,Kings XI Punjab,Kolkata Knight Riders,149
2014,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,190
2014,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,157
2014,JSCA International Stadium Complex,Rajasthan Royals,Chennai Super Kings,148
2014,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,186
2014,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,205
2014,Barabati Stadium,Mumbai Indians,Kolkata Knight Riders,141
2014,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils,201
2014,JSCA International Stadium Complex,Chennai Super Kings,Royal Challengers Bangalore,138
2014,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,142
2014,"Sardar Patel Stadium, Motera",Mumbai Indians,Rajasthan Royals,178
2014,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,164
2014,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad,160
2014,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,154
2014,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,156
2014,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,195
2014,JSCA International Stadium Complex,Chennai Super Kings,Sunrisers Hyderabad,185
2014,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,173
2014,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,179
2014,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,154
2014,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,160
2014,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,115
2014,Wankhede Stadium,Rajasthan Royals,Mumbai Indians,189
2014,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,163
2014,Brabourne Stadium,Mumbai Indians,Chennai Super Kings,173
2014,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,226
2014,M Chinnaswamy Stadium,Kings XI Punjab,Kolkata Knight Riders,199
2015,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,168
2015,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,150
2015,Maharashtra Cricket Association Stadium,Rajasthan Royals,Kings XI Punjab,162
2015,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Sunrisers Hyderabad,209
2015,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,177
2015,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,184
2015,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,177
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,166
2015,"Sardar Patel Stadium, Motera",Mumbai Indians,Rajasthan Royals,164
2015,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,165
2015,Maharashtra Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,165
2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,127
2015,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,183
2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,Sunrisers Hyderabad,167
2015,Maharashtra Cricket Association Stadium,Kings XI Punjab,Kolkata Knight Riders,155
2015,"Sardar Patel Stadium, Motera",Chennai Super Kings,Rajasthan Royals,156
2015,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,209
2015,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,146
2015,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kings XI Punjab,191
2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,176
2015,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,181
2015,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,190
2015,"Sardar Patel Stadium, Motera",Rajasthan Royals,Royal Challengers Bangalore,130
2015,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,157
2015,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,192
2015,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,95
2015,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,150
2015,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,171
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,200
2015,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,134
2015,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils,118
2015,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,187
2015,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,111
2015,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,192
2015,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab,172
2015,Brabourne Stadium,Rajasthan Royals,Delhi Daredevils,189
2015,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,148
2015,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,167
2015,Wankhede Stadium,Delhi Daredevils,Mumbai Indians,152
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,226
2015,Brabourne Stadium,Sunrisers Hyderabad,Rajasthan Royals,201
2015,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,158
2015,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,183
2015,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,Delhi Daredevils,163
2015,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,235
2015,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,157
2015,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,185
2015,Shaheed Veer Narayan Singh International Stadium,Chennai Super Kings,Delhi Daredevils,119
2015,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,106
2015,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,171
2015,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,135
2015,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,130
2015,Brabourne Stadium,Rajasthan Royals,Kolkata Knight Riders,199
2015,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,187
2015,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,113
2015,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,187
2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,180
2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,139
2015,Eden Gardens,Mumbai Indians,Chennai Super Kings,202
2016,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,121
2016,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders,98
2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,161
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,227
2016,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,187
2016,Saurashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions,163
2016,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils,111
2016,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,142
2016,Wankhede Stadium,Mumbai Indians,Gujarat Lions,143
2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rising Pune Supergiants,Kings XI Punjab,152
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,191
2016,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,142
2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,138
2016,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,170
2016,Saurashtra Cricket Association Stadium,Gujarat Lions,Sunrisers Hyderabad,135
2016,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rising Pune Supergiants,185
2016,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,164
2016,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad,143
2016,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,180
2016,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Kolkata Knight Riders,160
2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,Kings XI Punjab,189
2016,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiants,118
2016,Feroz Shah Kotla,Gujarat Lions,Delhi Daredevils,172
2016,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,174
2016,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions,195
2016,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,186
2016,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,194
2016,Saurashtra Cricket Association Stadium,Kings XI Punjab,Gujarat Lions,154
2016,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Mumbai Indians,159
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,185
2016,Saurashtra Cricket Association Stadium,Gujarat Lions,Delhi Daredevils,149
2016,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,164
2016,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiants,162
2016,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad,126
2016,M Chinnaswamy Stadium,Rising Pune Supergiants,Royal Challengers Bangalore,191
2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,181
2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,177
2016,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,158
2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,175
2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Rising Pune Supergiants,137
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,151
2016,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,146
2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Kings XI Punjab,124
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,248
2016,Eden Gardens,Rising Pune Supergiants,Kolkata Knight Riders,103
2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,179
2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Delhi Daredevils,206
2016,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,183
2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,Rising Pune Supergiants,121
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,211
2016,Green Park,Kolkata Knight Riders,Gujarat Lions,124
2016,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,Delhi Daredevils,158
2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,Rising Pune Supergiants,172
2016,Green Park,Mumbai Indians,Gujarat Lions,172
2016,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,171
2016,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Royal Challengers Bangalore,138
2016,M Chinnaswamy Stadium,Gujarat Lions,Royal Challengers Bangalore,158
2016,Feroz Shah Kotla,Sunrisers Hyderabad,Kolkata Knight Riders,162
2016,Feroz Shah Kotla,Gujarat Lions,Sunrisers Hyderabad,162
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,208
2018,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,169
2018,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,172
2018,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,182
2018,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Sunrisers Hyderabad,133
2018,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,207
2018,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,156
2018,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,155
2018,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,161
2018,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,204
2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,145
2018,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,231
2018,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,198
2018,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,206
2018,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,230
2018,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,165
2018,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,201
2018,Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,210
2018,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,200
2018,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,186
2018,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad,186
2018,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,172
2018,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils,157
2018,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,130
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,213
2018,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,140
2018,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,223
2018,Maharashtra Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,176
2018,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,152
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,185
2018,Maharashtra Cricket Association Stadium,Chennai Super Kings,Delhi Daredevils,218
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,173
2018,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,203
2018,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,184
2018,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,184
2018,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Chennai Super Kings,131
2018,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Sunrisers Hyderabad,166
2018,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,187
2018,Holkar Cricket Stadium,Rajasthan Royals,Kings XI Punjab,160
2018,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,155
2018,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,161
2018,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,217
2018,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,190
2018,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,188
2018,Holkar Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,250
2018,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,188
