season,venue,batting_team,bowling_team,final_score
2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,164
2008,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,196
2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,169
2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,165
2008,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,178
2008,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,162
2008,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,109
2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,126
2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,144
2008,Dr DY Patil Sports Academy,Rajasthan Royals,Mumbai Indians,103
2008,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,187
2008,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,129
2008,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals,140
2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,122
2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,181
2008,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Deccan Chargers,204
2008,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals,156
2008,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,143
2008,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,133
2008,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,156
2008,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,221
2008,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,194
2008,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,67
2008,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,118
2008,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,197
2008,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Deccan Chargers,178
2008,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,149
2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,154
2008,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,147
2008,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,189
2008,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,126
2008,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,Kings XI Punjab,175
2008,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,176
2008,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,211
2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,156
2008,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,174
2008,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,145
2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Chennai Super Kings,147
2008,Wankhede Stadium,Rajasthan Royals,Delhi Daredevils,192
2008,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,112
2008,Dr DY Patil Sports Academy,Chennai Super Kings,Rajasthan Royals,163
2009,Newlands,Mumbai Indians,Chennai Super Kings,165
2009,Newlands,Royal Challengers Bangalore,Rajasthan Royals,133
2009,Newlands,Kings XI Punjab,Delhi Daredevils,104
2009,Newlands,Kolkata Knight Riders,Deccan Chargers,101
2009,St George's Park,Chennai Super Kings,Royal Challengers Bangalore,179
2009,Kingsmead,Kings XI Punjab,Kolkata Knight Riders,158
2009,Newlands,Deccan Chargers,Royal Challengers Bangalore,184
2009,Kingsmead,Delhi Daredevils,Chennai Super Kings,189
2009,Newlands,Rajasthan Royals,Kolkata Knight Riders,150
2009,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,168
2009,Kingsmead,Deccan Chargers,Mumbai Indians,168
2009,St George's Park,Royal Challengers Bangalore,Delhi Daredevils,149
2009,Newlands,Kings XI Punjab,Rajasthan Royals,139
2009,Kingsmead,Chennai Super Kings,Deccan Chargers,165
2009,St George's Park,Mumbai Indians,Kolkata Knight Riders,187
2009,SuperSport Park,Delhi Daredevils,Rajasthan Royals,143
2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,139
2009,Kingsmead,Kings XI Punjab,Mumbai Indians,119
2009,SuperSport Park,Deccan Chargers,Delhi Daredevils,148
2009,SuperSport Park,Chennai Super Kings,Rajasthan Royals,164
2009,Buffalo Park,Mumbai Indians,Kolkata Knight Riders,148
2009,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,145
